Time,PosX,PosY,PosZ,VelX,VelY,VelZ,Roll,Pitch,Yaw
0.0,0.0,0.0,0.0,0.0,0.0,0.007999999999999997,0.0,-0.0,0.0
0.002,0.0,0.0,1.5999999999999992e-05,0.0,0.0,0.015994405778478,0.0,-0.0,0.0
0.004,0.0,0.0,4.7988811556956e-05,0.0,0.0,0.023978306320914508,0.0,-0.0,0.0
0.006,0.0,0.0,9.594542419878502e-05,0.0,0.0,0.03194739310343736,0.0,-0.0,0.0
0.008,0.0,0.0,0.00015984021040565973,0.0,0.0,0.03989788873458245,0.0,-0.0,0.0
0.01,0.0,0.0,0.00023963598787482462,0.0,0.0,0.0478264839111574,0.0,-0.0,0.0
0.012,0.0,0.0,0.0003352889556971394,0.0,0.0,0.055730281751053615,0.0,-0.0,0.0
0.014,0.0,0.0,0.00044674951919924667,0.0,0.0,0.06360674866411722,0.0,-0.0,0.0
0.016,0.0,0.0,0.0005739630165274811,0.0,0.0,0.07145367101192947,0.0,-0.0,0.0
0.018000000000000002,0.0,0.0,0.0007168703585513401,0.0,0.0,0.07926911688884,0.0,-0.0,0.0
0.020000000000000004,0.0,0.0,0.0008754085923290201,0.0,0.0,0.08705140243025661,0.0,-0.0,0.0
0.022000000000000006,0.0,0.0,0.0010495113971895334,0.0,0.0,0.09479906212051625,0.0,-0.0,0.0
0.024000000000000007,0.0,0.0,0.0012391095214305658,0.0,0.0,0.10251082263218299,0.0,-0.0,0.0
0.02600000000000001,0.0,0.0,0.0014441311666949317,0.0,0.0,0.11018557978188699,0.0,-0.0,0.0
0.02800000000000001,0.0,0.0,0.0016645023262587058,0.0,0.0,0.11782237823538268,0.0,-0.0,0.0
0.030000000000000013,0.0,0.0,0.001900147082729471,0.0,0.0,0.12542039363688678,0.0,-0.0,0.0
0.032000000000000015,0.0,0.0,0.002150987870003245,0.0,0.0,0.1329789168754611,0.0,-0.0,0.0
0.034000000000000016,0.0,0.0,0.002416945703754167,0.0,0.0,0.1404973402346937,0.0,-0.0,0.0
0.03600000000000002,0.0,0.0,0.0026979403842235547,0.0,0.0,0.14797514520164332,0.0,-0.0,0.0
0.03800000000000002,0.0,0.0,0.0029938906746268413,0.0,0.0,0.1554118917373382,0.0,-0.0,0.0
0.04000000000000002,0.0,0.0,0.0033047144581015175,0.0,0.0,0.16280720883442876,0.0,-0.0,0.0
0.04200000000000002,0.0,0.0,0.003630328875770375,0.0,0.0,0.17016078620821043,0.0,-0.0,0.0
0.044000000000000025,0.0,0.0,0.003970650448186796,0.0,0.0,0.177472366985457,0.0,-0.0,0.0
0.04600000000000003,0.0,0.0,0.00432559518215771,0.0,0.0,0.18474174127160312,0.0,-0.0,0.0
0.04800000000000003,0.0,0.0,0.004695078664700916,0.0,0.0,0.19196874049102822,0.0,-0.0,0.0
0.05000000000000003,0.0,0.0,0.005079016145682972,0.0,0.0,0.19915323240773553,0.0,-0.0,0.0
0.05200000000000003,0.0,0.0,0.005477322610498443,0.0,0.0,0.20629511674478423,0.0,-0.0,0.0
0.054000000000000034,0.0,0.0,0.005889912843988012,0.0,0.0,0.21339432133058775,0.0,-0.0,0.0
0.056000000000000036,0.0,0.0,0.006316701486649187,0.0,0.0,0.22045079870878978,0.0,-0.0,0.0
0.05800000000000004,0.0,0.0,0.006757603084066767,0.0,0.0,0.2274645231560085,0.0,-0.0,0.0
0.06000000000000004,0.0,0.0,0.007212532130378784,0.0,0.0,0.23443548805841422,0.0,-0.0,0.0
0.06200000000000004,0.0,0.0,0.0076814031064956125,0.0,0.0,0.24136370360398665,0.0,-0.0,0.0
0.06400000000000004,0.0,0.0,0.008164130513703585,0.0,0.0,0.24824919475247698,0.0,-0.0,0.0
0.06600000000000004,0.0,0.0,0.00866062890320854,0.0,0.0,0.25509199944965855,0.0,-0.0,0.0
0.06800000000000005,0.0,0.0,0.009170812902107856,0.0,0.0,0.2618921670564649,0.0,-0.0,0.0
0.07000000000000005,0.0,0.0,0.009694597236220785,0.0,0.0,0.2686497569671475,0.0,-0.0,0.0
0.07200000000000005,0.0,0.0,0.01023189675015508,0.0,0.0,0.2753648373936952,0.0,-0.0,0.0
0.07400000000000005,0.0,0.0,0.01078262642494247,0.0,0.0,0.28203748429649483,0.0,-0.0,0.0
0.07600000000000005,0.0,0.0,0.01134670139353546,0.0,0.0,0.28866778044362035,0.0,-0.0,0.0
0.07800000000000006,0.0,0.0,0.011924036954422701,0.0,0.0,0.2952558145832586,0.0,-0.0,0.0
0.08000000000000006,0.0,0.0,0.012514548583589219,0.0,0.0,0.30180168071564323,0.0,-0.0,0.0
0.08200000000000006,0.0,0.0,0.013118151945020506,0.0,0.0,0.30830547745250925,0.0,-0.0,0.0
0.08400000000000006,0.0,0.0,0.013734762899925524,0.0,0.0,0.3147673074535251,0.0,-0.0,0.0
0.08600000000000006,0.0,0.0,0.014364297514832574,0.0,0.0,0.32118727693042737,0.0,-0.0,0.0
0.08800000000000006,0.0,0.0,0.015006672068693428,0.0,0.0,0.32756549521070116,0.0,-0.0,0.0
0.09000000000000007,0.0,0.0,0.01566180305911483,0.0,0.0,0.33390207435363206,0.0,-0.0,0.0
0.09200000000000007,0.0,0.0,0.016329607207822092,0.0,0.0,0.3401971288124189,0.0,-0.0,0.0
0.09400000000000007,0.0,0.0,0.01701000146544693,0.0,0.0,0.34645077513679795,0.0,-0.0,0.0
0.09600000000000007,0.0,0.0,0.017702903015720528,0.0,0.0,0.35266313171129665,0.0,-0.0,0.0
